,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
0,Banglore,30000000,3340,JP Nagar Phase 1,4,1,0
1,Banglore,7888000,1045,Dasarahalli on Tumkur Road,2,1,0
2,Banglore,4866000,1179,Kannur on Thanisandra Main Road,2,1,0
3,Banglore,8358000,1675,Doddanekundi,3,1,0
4,Banglore,6845000,1670,Kengeri,3,1,0
5,Banglore,6797000,1220,Horamavu,2,1,0
6,Banglore,20000000,2502,Thanisandra,4,1,0
7,Banglore,7105000,1438,Ramamurthy Nagar,3,1,0
8,Banglore,8405000,1405,Whitefield Hope Farm Junction,3,0,0
9,Banglore,3506000,660,Electronic City Phase 1,1,0,0
10,Banglore,7700000,1362,Yelahanka,2,1,0
11,Banglore,9369000,1735,Anjanapura,3,1,0
12,Banglore,8716000,1575,Jalahalli,3,0,0
13,Banglore,5394000,1120,Kasavanahalli,2,1,0
14,Banglore,6367000,1415,Whitefield Hope Farm Junction,3,1,0
15,Banglore,5080000,1270,Bommasandra,2,1,0
16,Banglore,7209999,1311,Bellandur,3,1,0
17,Banglore,5700000,1210,RR Nagar,2,1,0
18,Banglore,30000000,3340,JP Nagar Phase 1,4,1,0
19,Banglore,7888000,1045,Dasarahalli on Tumkur Road,2,1,0
20,Banglore,4866000,1179,Kannur on Thanisandra Main Road,2,1,0
21,Banglore,8358000,1675,Doddanekundi,3,1,0
22,Banglore,6845000,1670,Kengeri,3,1,0
23,Banglore,6797000,1220,Horamavu,2,1,0
24,Banglore,20000000,2502,Thanisandra,4,1,0
25,Banglore,7105000,1438,Ramamurthy Nagar,3,1,0
26,Banglore,8405000,1405,Whitefield Hope Farm Junction,3,0,0
27,Banglore,3506000,660,Electronic City Phase 1,1,0,0
28,Banglore,7700000,1362,Yelahanka,2,1,0
29,Banglore,9369000,1735,Anjanapura,3,1,0
30,Banglore,8716000,1575,Jalahalli,3,0,0
31,Banglore,5394000,1120,Kasavanahalli,2,1,0
32,Banglore,6367000,1415,Whitefield Hope Farm Junction,3,1,0
33,Banglore,5080000,1270,Bommasandra,2,1,0
34,Banglore,7209999,1311,Bellandur,3,1,0
35,Banglore,5700000,1210,RR Nagar,2,1,0
36,Banglore,12400000,1705,Whitefield Hope Farm Junction,3,1,0
37,Banglore,4900000,1187,Begur,2,1,0
38,Banglore,30000000,3340,JP Nagar Phase 1,4,1,0
39,Banglore,7888000,1045,Dasarahalli on Tumkur Road,2,1,0
40,Banglore,4866000,1179,Kannur on Thanisandra Main Road,2,1,0
41,Banglore,8358000,1675,Doddanekundi,3,1,0
42,Banglore,6845000,1670,Kengeri,3,1,0
43,Banglore,6797000,1220,Horamavu,2,1,0
44,Banglore,20000000,2502,Thanisandra,4,1,0
45,Banglore,7105000,1438,Ramamurthy Nagar,3,1,0
46,Banglore,8405000,1405,Whitefield Hope Farm Junction,3,0,0
47,Banglore,3506000,660,Electronic City Phase 1,1,0,0
48,Banglore,7700000,1362,Yelahanka,2,1,0
49,Banglore,9369000,1735,Anjanapura,3,1,0
50,Banglore,8716000,1575,Jalahalli,3,0,0
51,Banglore,5394000,1120,Kasavanahalli,2,1,0
52,Banglore,6367000,1415,Whitefield Hope Farm Junction,3,1,0
53,Banglore,5080000,1270,Bommasandra,2,1,0
54,Banglore,7209999,1311,Bellandur,3,1,0
55,Banglore,5700000,1210,RR Nagar,2,1,0
56,Banglore,12400000,1705,Whitefield Hope Farm Junction,3,1,0
57,Banglore,4900000,1187,Begur,2,1,0
58,Banglore,5080000,1270,Bommasandra,2,1,0
59,Banglore,9630000,2293,Kannur on Thanisandra Main Road,3,1,0
60,Banglore,9458000,1726,Hosa Road,3,1,0
61,Banglore,23700000,2470,Sahakar Nagar,4,1,0
62,Banglore,7363000,1570,Kadugodi,3,0,0
63,Banglore,5489000,1120,Jakkur,2,0,0
64,Banglore,4216000,1506,Jigani,3,0,0
65,Banglore,4368000,1040,Krishnarajapura,2,1,0
66,Banglore,7600000,1150,Brookefield,2,0,0
67,Banglore,4545000,1045,Horamavu,2,1,0
68,Banglore,23100000,2480,Banashankari,3,1,0
69,Banglore,8000000,1160,RR Nagar,2,1,0
70,Banglore,4514000,1143,RR Nagar,2,1,0
71,Banglore,5460000,1300,RR Nagar,2,1,1
72,Banglore,4414000,966,Nelamangala,2,1,0
73,Banglore,8868000,1245,Begur,2,1,0
74,Banglore,6133000,1275,Ramamurthy Nagar,2,1,0
75,Banglore,3038000,1085,Attibele,2,1,0
76,Banglore,7100000,1286,Nelamangala,3,1,1
77,Banglore,7506999,1155,Banaswadi,2,0,0
78,Banglore,6520000,1304,Whitefield Hope Farm Junction,3,0,0
79,Banglore,6389000,1120,Kodigehalli,2,1,0
80,Banglore,11700000,2017,ITPL,3,1,0
81,Banglore,5600000,1340,Uttarahalli Hobli,3,1,0
82,Banglore,4562000,1304,Electronic City Phase 1,3,1,0
83,Banglore,2951000,649,Ramamurthy Nagar,1,1,0
84,Banglore,4264000,1108,Krishnarajapura,2,0,0
85,Banglore,6698000,1675,Krishnarajapura,3,1,0
86,Banglore,8100000,718,Chikkagubbi on Hennur Main Road,2,1,0
87,Banglore,4500000,1075,Kasavanahalli,2,1,0
88,Banglore,4928000,1120,Varthur,2,1,0
89,Banglore,6100000,1350,Vidyaranyapura,2,0,0
90,Banglore,6151000,1404,Electronic City Phase 2,2,0,0
91,Banglore,5426000,1080,Begur,2,1,0
